课程,教师,周次,节次,地点
电工电子技术A,教师03,"1-6,8-15",一[7-8节],一教楼307
电工电子技术A,教师03,"1-6,8-15",三[1-2节],一教楼307
机械设计基础,教师04,"1-6,8-15",二[1-2节],三教楼204
机械设计基础,教师04,"1-6,8-15",五[3-4节],三教楼403
国际沟通与交流,教师05,"2-6,8-15",三[5-6节],二教楼104
欧洲浪漫主义时期钢琴艺术赏析,教师06,3-18,四[9-10节]双,工程楼100
制冷原理与设备,教师07,"1-6,8-13",三[7-8节],一教楼711
制冷原理与设备,教师07,"1-6,8-13",五[5-6节],二教楼504
能源与动力工程测式技术,教师08,"1-6,8-12",二[7-8节],一教楼307
传热学,教师09,"1-6,8-14",一[3-4节],一教楼413
传热学,教师09,"1-6,8-14",四[1-2节],三教楼102
形势与政策5,教师10,1-4,四[3-4节],三教楼106
形势与政策5,教师10,1-4,四[3-4节],三教楼106
习近平新时代中国特色社会主义思想概论,教师11,"1-6,8-13",二[3-4节],三教楼102
习近平新时代中国特色社会主义思想概论,教师11,"1-6,8-13",五[1-2节]单,三教楼102
